Subject,Frequency,BslnRedAttended,BslnBlueAttended,AcqRedAttended,AcqBlueAttended,ExtRedAttended,ExtBlueAttended,BslnRedAttendedMov,BslnBlueAttendedMov,AcqRedAttendedMov,AcqBlueAttendedMov,ExtRedAttendedMov,ExtBlueAttendedMov
6,12,1.7235,0.8863,1.4215,0.96582,1.4816,1.0012,1.91,0.96056,1.7786,0.91881,1.5369,1.0396
7,12,0.63172,0.31578,0.76828,0.42938,0.53483,0.25431,0.66395,0.41042,0.79245,0.49947,0.72283,0.40934
8,12,1.4422,0.88058,1.398,0.81242,1.3724,0.69143,1.6486,0.82426,1.4415,0.81603,1.5026,0.80063
9,12,0.44947,0.38326,0.40048,0.32617,0.27872,0.43962,0.45349,0.44813,0.50346,0.32414,0.36272,0.35836
11,12,3.5033,2.3405,3.7323,2.4911,3.7,2.7496,3.3314,2.1791,3.5044,2.4631,3.647,2.6883
12,12,1.3244,0.4457,0.89093,0.73758,1.2164,1.0366,1.1675,0.75072,1.0351,0.98982,1.4653,1.0114
14,12,0.43516,0.37763,1.1416,0.74335,0.79947,0.68555,0.46378,0.5276,1.1351,0.7222,0.89576,0.66191
15,12,0.68305,0.46312,0.78396,0.36033,0.69454,0.30693,0.70161,0.42387,0.81177,0.49287,0.84514,0.42233
16,12,0.41887,0.20134,0.45723,0.20364,0.57938,0.27359,0.40889,0.1464,0.42241,0.23216,0.54142,0.30675
17,12,1.4604,0.96413,1.5172,1.1544,1.3262,1.0706,1.4205,1.1563,1.6013,1.2529,1.3871,1.2374
18,12,0.7737,0.29396,0.74685,0.5583,0.78957,0.3211,0.41381,0.26378,0.63215,0.45531,0.80648,0.34946
19,12,0.95998,0.72378,1.0776,0.85835,1.1751,0.94937,0.9613,0.9286,1.1907,0.89842,1.2043,0.9257
20,12,0.36608,0.4868,0.30157,0.54077,0.24298,0.40269,0.38906,0.34887,0.35218,0.35076,0.23664,0.38375
21,12,2.1433,1.6489,2.2305,1.5721,1.9789,1.4656,2.0946,1.456,2.2246,1.4641,2.0946,1.4772
22,12,0.469,0.39617,0.64465,0.42095,0.47867,0.50829,0.39475,0.39189,0.59725,0.49932,0.44829,0.45118
23,12,0.75488,0.50007,0.6494,0.52683,0.65695,0.54522,0.73909,0.40254,0.70591,0.5073,0.62129,0.40239
24,12,0.56176,0.29932,0.75105,0.34222,0.69643,0.29939,0.72115,0.36172,0.62993,0.36951,0.72458,0.3445
25,12,0.40769,0.35897,0.33055,0.26609,0.28894,0.25673,0.51861,0.36439,0.51969,0.28951,0.423,0.33238
26,12,1.6863,1.6224,2.1699,1.6548,1.8953,1.8356,1.7234,1.3327,1.7791,1.4539,1.7494,1.5551
28,12,1.4896,0.70391,1.2117,0.63061,1.3284,0.61802,1.4174,0.67435,1.3718,0.63094,1.3109,0.58805
29,12,1.6362,0.78159,1.7743,0.92649,1.6348,0.88645,1.7452,1.0268,1.7279,1.0519,1.7921,0.97062
30,12,1.5227,1.2,1.7072,1.2818,1.5888,1.1381,1.5723,1.1122,1.4589,1.1557,1.5858,1.0785
31,12,3.1506,2.2431,3.6698,2.6169,3.3251,2.3168,3.2871,2.5033,3.7389,2.4674,3.3003,2.8109
32,12,0.83567,0.84455,0.65383,0.91294,0.95112,0.70772,0.68167,0.74978,0.73497,0.82748,0.80485,0.79262
33,12,1.0978,0.55616,0.80771,0.58338,1.2354,0.63065,1.0928,0.75654,1.0852,0.80044,1.291,0.79347
34,12,0.30133,0.24569,0.34595,0.15219,0.28833,0.13391,0.3857,0.19423,0.41795,0.21333,0.23273,0.22715
35,12,0.76359,0.5368,0.82313,0.57325,0.71597,0.48084,0.74236,0.60612,0.87245,0.57211,0.7406,0.51559
36,12,0.74438,0.7501,0.58776,0.66393,0.64368,0.70386,0.68028,0.53638,0.7298,0.70218,0.66149,0.69347
37,12,0.94701,0.49728,0.87473,0.54272,0.92697,0.60869,0.81845,0.5227,1.1173,0.72516,1.1147,0.58515
38,12,1.1789,0.81141,1.0858,0.87494,1.0245,0.99898,1.0209,0.8095,1.036,0.82531,1.0885,0.85568
39,12,0.50475,0.38984,0.44978,0.48896,0.69013,0.68925,0.44592,0.37052,0.35379,0.4151,0.31466,0.52879
40,12,0.53898,0.4654,0.5234,0.41155,0.52722,0.62285,0.68039,0.42971,0.58239,0.48176,0.53062,0.39186
41,12,0.36622,0.29369,0.4402,0.51444,0.44108,0.33926,0.38866,0.39472,0.55538,0.51958,0.46952,0.33042
42,12,2.0524,1.4413,1.9994,1.3949,2.0664,1.4063,1.9005,1.4227,1.975,1.3248,1.9416,1.3726
43,12,0.8465,0.35384,0.85278,0.41609,0.70405,0.40092,0.92214,0.57946,0.93123,0.51726,0.76021,0.48925
44,12,1.7043,0.79632,1.4697,0.75188,1.2168,0.68748,1.5799,0.91791,1.5526,0.75943,1.2786,0.93564
45,12,0.6559,0.56201,0.81253,0.64993,0.60118,0.67974,0.74299,0.57885,0.9001,0.5977,0.75607,0.57889
46,12,0.53577,0.46191,0.51452,0.43958,0.44279,0.37197,0.51807,0.45747,0.4332,0.39852,0.4694,0.3833
47,12,1.1671,0.85508,1.1957,0.71039,1.119,1.02,0.89794,0.89934,1.2029,0.76322,0.98008,0.87052
48,12,1.5649,0.9533,1.3434,0.95902,1.3023,1.114,1.152,0.83325,1.1721,0.83613,1.3026,0.893
